data/namaPerusahaan,data/alamatPerusahaan
PT Global Dimensi Metalindo,"Kawasan Industri Jababeka I, JL. Jababeka XVII B Blok U 19 C-D, Karangbaru, Cikarang Utara, Kabupaten Bekasi, Jawa Barat"
PT GLOBAL ECO CHEMICALS INDONESIA,"JL. KAPTEN DARMOSUGONDO NOMOR 56 RT.000 RW.000, INDRO, KEBOMAS, Kabupaten Gresik, Jawa Timur"
PT Global Ekatama Sukses,
PT Global Elektrik Nasional,"JL. PROF. DR. IR. SOETAMI KM.7, NAMENG, RANGKASBITUNG, Kabupaten Lebak, Banten"
PT Global Energi Hijau Lestari,"Gudang Solid 3 Blok E-11 & E-12 Jl. Pulau Nias Utara IV KIM 3, Desa/Kelurahan Sampali, Kec. Percut Sei Tuan, Kab. Deli Serdang, Provinsi Sumatera Utara Kode Pos: 20371, Sampali, Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara"
PT Global Energi Selaras,
PT Global Enjinering Sampah Indonesia Timur,"Jalan Imam Bonjol, Gerung Selatan, Gerung, Kabupaten Lombok Barat, Nusa Tenggara Barat"
PT Global Era Solusi Teknologi,
CV Global Express,"Jl. Raya Badung, Larangan Badung, Palenggaan, Kabupaten Pamekasan, Jawa Timur"
PT Global Fashion Garment,"NGIJO KULON RT.01 / RW.01,, NGIJO, TASIKMADU, Kabupaten Karanganyar, Jawa Tengah"
PT GLOBAL FIBERINDO,"Jln. Putera Utama No.11 Kawasan Industri Pasar Kemis RT /RW 002/003, Suka Asih, Pasar kemis, Kabupaten Tangerang, Banten"
PT Global Fishing Tackle,"Kawasan Industri Millenium Blok F2 No. 3, Peusar, Panongan, Kabupaten Tangerang, Banten"
PT GLOBAL FOODS,"RUKAN AVENUE BLOK 8 NO.119 JAKARTA GARDEN CITY, CAKUNG TIMUR, JAKARTA TIMUR, Cakung Timur, Cakung, Kota Jakarta Timur, DKI Jakarta"
PT Global Furnika Mandiri,"Jl. Gatot Subroto Kawasan Industri Candi Blok 23 No. 5, Ngaliyan, Ngaliyan, Kota Semarang, Jawa Tengah"
PT Global Future Technologies,"SOREANG INDAH BLOK E NO 26, CINGCIN, SOREANG, Kabupaten Bandung, Jawa Barat"
PT Global Gemilang Adiwarna,"Jl. Kampung Baru, Singabangsa, Tenjo, Kabupaten Bogor, Jawa Barat"
PT Global Gemilang Nusa Pertiwi,"Gladagsari, Desa/Kelurahan Gladagsari, Kec. Gladagsari, Kab. Boyolali, Provinsi Jawa Tengah Kode Pos: 57352, Gladagsari, Gladagsari, Kabupaten Boyolali, Jawa Tengah"
PT GLOBAL HANSTAMA JAYA,"Jl. Bungaok Rt.01/02, Desa Caringin, Legok, Kabupaten Tangerang, Banten"
PT Global Hanstama Jaya Factory 2,"Kp.Warung Bongkok Rt.006 Rw.007, Sukadanau, Cikarang Barat, Kabupaten Bekasi, Jawa Barat"
CV Global Hardware,
PT Global Harvest Precision Engineering,"LOT 21 CITRA BUANA INDUSTRIAL PARK III, Belian, Batam kota, Kota Batam, Kepulauan Riau"
PT Global Heksa Natura,"Jl. KH Tubagus Abdullah No.99, Sukaasih, Purbaratu, Kota Tasikmalaya, Jawa Barat"
